# CIRIS evidence registry — impl: tier (CIRISServer#155 / CIRISConstitution#17)
# The sibling spec-map manifest the Constitution's check_claims.py resolves
# cross-repo impl:CIRISServer#155 pointers against. Validated by tools/check_evidence.py:
# every path#symbol MUST resolve at the workspace-pinned crate version.
# Columns: decimal_id, claim_id, repo, path#symbol, crate@version
decimal_id	claim_id	repo	path#symbol	crate@version
3.3.2	CLM-subject_kind	CIRISPersist	src/cirisnode/media_sharing.rs#TakedownNoticePayload	ciris-persist@v17.0.1
3.3.3	CLM-subject_kind-subject	CIRISPersist	src/federation/location.rs#validate_location_cell	ciris-persist@v17.0.1
3.3.4	CLM-family-subject	CIRISPersist	src/federation/admission.rs#validate_family_members	ciris-persist@v17.0.1
3.3.5	CLM-consent-subject	CIRISPersist	src/federation/admission.rs#check_consent_record_admission	ciris-persist@v17.0.1
3.3.6	CLM-identity	CIRISPersist	src/federation/admission.rs#verify_signed_identity_occurrence	ciris-persist@v17.0.1
3.3.6.1	CLM-encryption_pubkeys	CIRISPersist	src/federation/admission.rs#check_encryption_pubkeys	ciris-persist@v17.0.1
3.3.6.2	CLM-transport-authenticated	CIRISVerify	src/ciris-verify-core/src/transport_binding.rs#verify_transport_binding	ciris-verify-core@v10.1.1
3.3.6.2.1	CLM-rns	CIRISVerify	src/ciris-verify-core/src/transport_binding.rs#compute_destination_hash	ciris-verify-core@v10.1.1
3.3.7	CLM-consent-directed	CIRISServer	src/peer.rs#emit_replication_consent	ciris-server@main
3.4.1	CLM-accord-reservation	CIRISPersist	src/federation/admission.rs#check_reserved_prefix_admission	ciris-persist@v17.0.1
3.4.2	CLM-community-location	CIRISPersist	src/federation/admission.rs#check_reserved_prefix_admission	ciris-persist@v17.0.1
3.4.3	CLM-system	CIRISPersist	src/federation/admission.rs#default_reserved_prefix_rules	ciris-persist@v17.0.1
3.4.4	CLM-family-self	CIRISPersist	src/federation/admission.rs#check_reserved_prefix_admission	ciris-persist@v17.0.1
3.4.5	CLM-capacity-score	CIRISPersist	src/federation/admission.rs#check_reserved_prefix_admission	ciris-persist@v17.0.1
3.4.6	CLM-reservation-delivery	—	—	open
3.4.7	CLM-enforcement	CIRISPersist	src/federation/admission.rs#DimensionAdmissionPolicy::check	ciris-persist@v17.0.1
3.4.7.1	CLM-identity-set	CIRISPersist	src/federation/types.rs#identity_type::set_contains	ciris-persist@v17.0.1
3.4.7.2	CLM-consent-counter	CIRISEdge	src/detector/probe_pattern_observer.rs#ConsentRole::permits_detection_emission	ciris-edge@v13.0.3
3.4.8	CLM-detector-only	CIRISPersist	src/federation/admission.rs#default_reserved_prefix_rules	ciris-persist@v17.0.1
3.4.9	CLM-co-stewarded	CIRISServer	src/compose_policy.rs#Composer::licensure_cap	ciris-server@main
3.4.10	CLM-witness-emitter	CIRISPersist	src/federation/admission.rs#default_reserved_prefix_rules	ciris-persist@v17.0.1
3.5.1	CLM-concurrent-write	CIRISPersist	src/federation/precedence.rs#precedence_winner	ciris-persist@v17.0.1
4.1.1	CLM-anti-pattern-delegation	—	—	open
4.1.4	CLM-withdraws-arbitrage	CIRISServer	src/withdraws_arbitrage.rs#enforce	ciris-server@main
4.2.1.1	CLM-invocation	CIRISVerify	src/ciris-verify-core/src/humanity_accord.rs#Invocation::canonical_bytes	ciris-verify-core@v10.1.1
4.2.1.2	CLM-notify	CIRISClient	client/shared/src/commonMain/kotlin/ai/ciris/mobile/shared/ui/screens/AccordScreen.kt#invocationBadge	ciris-client@0.5.203
4.2.1.3	CLM-lifecycle	CIRISVerify	src/ciris-verify-core/src/humanity_accord.rs#verify_invocation	ciris-verify-core@v10.1.1
4.2.2	CLM-hardware-class	CIRISVerify	src/ciris-keyring/src/hw_token.rs#hardware_class_table	ciris-keyring@v10.1.1
4.2.2.1	CLM-hardware-class-hardware	CIRISServer	src/hardware_attestation.rs#admit_hardware_class	ciris-server@main
4.2.6	CLM-accord-livequorum	CIRISVerify	src/ciris-verify-core/src/accord_live_quorum.rs#verify_membership_change_by_live_quorum	ciris-verify-core@v10.1.1
4.4	CLM-composition-policies	CIRISServer	src/compose_policy.rs#Composer::compose	ciris-server@main
4.4.1	CLM-frickerian	CIRISServer	src/compose_policy.rs#Composer::weigh	ciris-server@main
4.4.3.1.1	CLM-sub-quorum	—	—	open
4.4.3.2.1	CLM-community-three	CIRISPersist	src/federation/community_dek.rs#encrypt_and_cascade_community	ciris-persist@v17.0.1
4.4.3.2.4.1	CLM-deterministic	—	—	open
4.4.3.2.8	CLM-affiliations	—	—	open
4.4.3.4	CLM-family-policy	CIRISPersist	src/federation/at_rest_cascade.rs#resolve_recipients	ciris-persist@v17.0.1
4.4.3.4.1	CLM-cascade	CIRISPersist	src/federation/at_rest_cascade.rs#encrypt_and_cascade	ciris-persist@v17.0.1
4.4.3.4.3	CLM-cohort	CIRISVerify	src/ciris-verify-core/src/self_at_login.rs#perform_self_at_login	ciris-verify-core@v10.1.1
4.4.3.4.3.1	CLM-canonicalization-signing	CIRISVerify	src/ciris-verify-core/src/self_at_login.rs#sign_partnership_grant	ciris-verify-core@v10.1.1
4.4.3.5.4	CLM-multi-subject	CIRISPersist	src/federation/admission.rs#resolve_withdraws_admission_rule	ciris-persist@v17.0.1
4.4.3.6	CLM-policy-attestation	—	—	open
4.4.3.10	CLM-policy-trusted	—	—	open
4.5.1.1	CLM-axis	CIRISPersist	src/federation/schema_resolver.rs#BlobBackedSchemaResolver	ciris-persist@v17.0.1
4.5.2.1	CLM-subject_kind-subject-3	—	—	open
4.5.2.2	CLM-compliance-vertical	CIRISServer	src/compliance.rs#ComplianceMap	ciris-server@main
4.5.3	CLM-takedown	CIRISPersist	src/cirisnode/takedown_handler.rs#process_takedown_admission	ciris-persist@v17.0.1
4.5.4	CLM-registry-named	CIRISServer	src/safety/named.rs#existence_verdict	ciris-server@main
4.5.5	CLM-takedown-moderation	CIRISServer	src/safety/moderation.rs#admit_moderation_action	ciris-server@main
4.5.7	CLM-registry-watchlist	CIRISServer	src/safety/watchlist.rs#enable_watchlist	ciris-server@main
4.5.8.1	CLM-cohabitation	—	—	open
4.5.8.3	CLM-settled	—	—	open
4.5.10.4	CLM-documents-what-2	—	—	open
4.5.12.2	CLM-envelope-multi	CIRISPersist	src/federation/admission.rs#DimensionAdmissionPolicy::check_write_cohort_scope	ciris-persist@v17.0.1
4.5.13	CLM-reverse-quorum	—	—	open
5.3.1	CLM-witness	CIRISVerify	src/ciris-verify-core/src/transparency.rs#SignedTreeHead::cosign	ciris-verify-core@v10.1.1
5.3.1.1	CLM-consistency-proof	CIRISVerify	src/ciris-verify-core/src/transparency.rs#verify_consistency	ciris-verify-core@v10.1.1
5.3.2.1	CLM-holder	CIRISEdge	src/transport/reticulum.rs#filter_holders_with_policy	ciris-edge@v13.0.3
5.3.2.3	CLM-merge	CIRISPersist	src/federation/operational.rs#SubjectKind::merge_intent	ciris-persist@v17.0.1
5.3.2.4	CLM-attestation-tier	CIRISPersist	src/federation/admission.rs#check_local_tier_eligibility	ciris-persist@v17.0.1
5.3.2.4.1	CLM-authority-local	—	—	open
5.3.2.4.2	CLM-local	CIRISPersist	src/engine.rs#Engine::attestation_promote	ciris-persist@v17.0.1
5.3.2.4.3	CLM-two	CIRISPersist	src/federation/tier_ingest.rs#verify_federation_tier_ingest	ciris-persist@v17.0.1
5.3.2.4.3.1	CLM-admission-pqc	CIRISPersist	src/federation/tier_ingest.rs#verify_federation_tier_ingest	ciris-persist@v17.0.1
5.3.2.5	CLM-full-sha	CIRISVerify	src/ciris-verify-core/src/holds_bytes.rs#verify_holds_bytes	ciris-verify-core@v10.1.1
5.3.3.1	CLM-stream	CIRISPersist	src/federation/stream_seal.rs#stream_nonce	ciris-persist@v17.0.1
5.3.3.2.1	CLM-namespace-realtime	CIRISEdge	src/transport/realtime_av.rs#CODEC_AV1_SVC	ciris-edge@v13.0.3
5.3.3.2.3	CLM-registry-wire	CIRISEdge	src/transport/realtime_av.rs#SealedAvChunk::to_bytes	ciris-edge@v13.0.3
5.3.3.2.4	CLM-chunklayer	CIRISEdge	src/transport/realtime_av.rs#ReceiverLayerPolicy::admits	ciris-edge@v13.0.3
5.3.3.4	CLM-liveness	CIRISEdge	src/transport/realtime_av.rs#RealtimeFanout::plan_layered	ciris-edge@v13.0.3
5.3.3.5	CLM-transport-edge	CIRISEdge	src/transport/realtime_av.rs#seal_av_chunk	ciris-edge@v13.0.3
5.3.3.6	CLM-delivery	CIRISPersist	src/store/sqlite.rs#put_delivery_receipt	ciris-persist@v17.0.1
5.3.3.7	CLM-normative	CIRISPersist	src/federation/stream_sth.rs#log_id_for_stream	ciris-persist@v17.0.1
5.3.4	CLM-multi-steward	—	—	open
5.3.6.1	CLM-envelope-error	CIRISVerify	src/ciris-verify-core/src/ceg_error.rs#CegError	ciris-verify-core@v10.1.1
5.4.1	CLM-record-id	CIRISVerify	src/ciris-crypto/src/scope_privacy.rs#derive_record_id	ciris-crypto@v10.1.1
5.4.2	CLM-symbol	CIRISVerify	src/ciris-crypto/src/scope_privacy.rs#derive_symbol_key	ciris-crypto@v10.1.1
5.4.4	CLM-welcome-wrap	CIRISEdge	src/mls/welcome_wrap.rs#unwrap_welcome	ciris-edge@v13.0.3
5.4.5	CLM-witness-content	CIRISVerify	src/ciris-crypto/src/scope_privacy.rs#witness_cover_leaf	ciris-crypto@v10.1.1
5.4.6	CLM-announce-suppress	CIRISEdge	src/announce_suppression.rs#should_suppress_announce	ciris-edge@v13.0.3
6.1.2	CLM-noise-classify	CIRISPersist	src/fountain/types.rs#classify	ciris-persist@v17.0.1
6.1.2	CLM-noise-descent	CIRISVerify	src/ciris-verify-core/src/holonomic/aggregation.rs#ejection_verdict	ciris-verify-core@v10.1.1
6.1.2.1	CLM-aggregationmetav1	CIRISVerify	src/ciris-verify-core/src/holonomic/aggregation.rs#AggregationMetaV1	ciris-verify-core@v10.1.1
6.1.2.2	CLM-descent	CIRISVerify	src/ciris-verify-core/src/holonomic/aggregation.rs#descend_order	ciris-verify-core@v10.1.1
6.1.2.3	CLM-noise-ejection	CIRISVerify	src/ciris-verify-core/src/holonomic/aggregation.rs#EjectionVerdict	ciris-verify-core@v10.1.1
6.1.5	CLM-noise-N5	CIRISVerify	src/ciris-verify-core/src/holonomic/fountain.rs#retention_decision	ciris-verify-core@v10.1.1
6.1.5.1	CLM-registry-replication	CIRISEdge	src/holonomic/fountain_defaults.rs#recommended_policy	ciris-edge@v13.0.3
6.1.6	CLM-deterministic-alm	CIRISEdge	src/holonomic/deterministic_topology.rs#compute_alm_topology_verified	ciris-edge@v13.0.3
6.1.8	CLM-trust	CIRISVerify	src/ciris-verify-core/src/holonomic/bootstrap.rs#recursive_trust_bootstrap	ciris-verify-core@v10.1.1
6.1.2	CLM-noise-dominance	CIRISPersist	src/fountain/aggregation.rs#verify_for_admission	ciris-persist@v17.0.1
6.1.2.1.2	CLM-neff-dominance-gate	CIRISVerify	src/ciris-verify-core/src/holonomic/aggregation.rs#passes_dominance_gate	ciris-verify-core@v10.1.1
